id_absence,teacher_code,date_absence,motif,justifiee,duree_heures,remplace
1,TEACH-01165,2025-12-13,Personnel,False,22,False
2,TEACH-01577,2025-02-15,Personnel,False,10,False
3,TEACH-00085,2026-01-22,Maladie,True,14,False
4,TEACH-04956,2026-05-11,Congé,False,12,False
5,TEACH-04709,2026-06-24,,True,5,True
6,TEACH-02194,2024-08-18,Maladie,True,11,True
7,TEACH-04364,2026-06-01,Personnel,True,24,True
8,TEACH-03214,2026-06-22,Congé,True,20,True
9,TEACH-00832,2026-06-30,Mission,True,22,True
10,TEACH-00154,2025-12-16,Mission,True,18,False
11,TEACH-03498,2026-01-07,Mission,True,23,True
12,TEACH-01067,2026-04-23,Congé,True,11,False
13,TEACH-02392,2026-01-23,Maladie,False,17,True
14,TEACH-02509,2026-07-26,,False,10,True
15,TEACH-01512,2025-04-11,Congé,True,19,False
16,TEACH-02629,2024-08-15,Congé,False,6,False
17,TEACH-01993,2025-07-18,Mission,False,23,False
18,TEACH-04973,2025-04-19,Personnel,True,17,False
19,TEACH-03647,2026-06-26,Congé,True,22,False
20,TEACH-02403,2025-06-22,Congé,False,24,False
21,TEACH-03219,2025-08-26,Personnel,True,2,True
22,TEACH-02158,2025-10-01,Maladie,True,9,False
23,TEACH-03320,2025-02-14,Personnel,True,3,True
24,TEACH-02637,2024-10-19,Personnel,False,3,False
25,TEACH-03585,2025-07-19,Mission,True,11,False
26,TEACH-01632,2025-03-08,Personnel,False,4,False
27,TEACH-02560,2025-11-09,Mission,True,8,True
28,TEACH-00579,2025-01-05,Congé,True,11,True
29,TEACH-00245,2025-08-25,Mission,False,6,False
30,TEACH-04599,2025-12-17,Personnel,True,9,False
31,TEACH-01111,2025-05-26,,False,16,True
32,TEACH-03768,2024-11-03,Mission,True,10,True
33,TEACH-02982,2026-03-09,Personnel,True,8,False
34,TEACH-02389,2026-06-14,,False,23,True
35,TEACH-03661,2026-06-26,Personnel,False,20,False
36,TEACH-01733,2025-07-13,Congé,False,15,False
37,TEACH-00098,2025-04-17,,True,24,True
38,TEACH-01157,2026-07-04,Congé,False,10,True
39,TEACH-02685,2025-04-01,Mission,False,13,False
40,TEACH-02139,2024-12-10,Personnel,True,13,True
41,TEACH-03199,2025-07-29,Maladie,False,15,True
42,TEACH-04714,2025-10-19,Maladie,False,9,False
43,TEACH-02250,2024-12-27,Maladie,False,5,False
44,TEACH-01656,2025-09-14,Maladie,True,24,False
45,TEACH-03797,2026-04-13,Congé,True,8,True
46,TEACH-01425,2025-07-25,Maladie,False,21,False
47,TEACH-00917,2025-06-04,Congé,False,24,False
48,TEACH-00406,2025-06-23,Mission,True,7,True
49,TEACH-04313,2025-09-03,,True,19,True
50,TEACH-04256,2024-12-18,Mission,True,5,True
51,TEACH-03740,2025-09-08,Maladie,False,10,True
52,TEACH-00011,2025-11-06,Personnel,False,7,False
53,TEACH-03740,2025-10-05,,False,13,True
54,TEACH-00787,2025-09-30,,False,3,False
55,TEACH-00485,2024-10-28,Congé,False,20,True
56,TEACH-01443,2024-10-14,,False,23,True
57,TEACH-04890,2024-10-09,Mission,False,20,True
58,TEACH-03995,2024-09-11,Mission,True,23,False
59,TEACH-01249,2024-10-17,Personnel,False,10,False
60,TEACH-00173,2025-06-10,Maladie,False,22,False
61,TEACH-02309,2024-11-03,Mission,True,1,False
62,TEACH-02942,2026-05-18,Personnel,True,4,False
63,TEACH-00664,2026-06-09,Maladie,False,5,True
64,TEACH-00788,2025-01-25,Personnel,False,12,True
65,TEACH-02778,2026-02-23,Congé,True,9,True
66,TEACH-00160,2025-11-17,Congé,False,20,True
67,TEACH-01122,2024-12-06,Mission,True,8,True
68,TEACH-01574,2024-08-09,Mission,True,1,False
69,TEACH-03966,2026-06-02,Personnel,True,7,False
70,TEACH-02421,2024-09-06,Mission,True,14,False
71,TEACH-02391,2025-10-01,Personnel,True,23,True
72,TEACH-01051,2025-05-05,Personnel,True,14,False
73,TEACH-03732,2025-10-13,Personnel,True,15,True
74,TEACH-03408,2026-02-14,Congé,False,12,False
75,TEACH-00640,2026-04-18,Mission,False,17,False
76,TEACH-01186,2025-02-04,Personnel,False,23,False
77,TEACH-02576,2025-10-21,Personnel,True,11,False
