id_salaire,teacher_code,mois,annee,salaire_base,primes,retenues,salaire_net,mode_paiement
1,TEACH-00001,1,2025,717786,94122,18136,793772,Wave
2,TEACH-00001,2,2025,426212,161672,35029,552855,Banque
3,TEACH-00001,3,2025,676427,161386,23527,814286,Wave
4,TEACH-00001,4,2025,632938,57294,47238,642994,Wave
5,TEACH-00001,5,2025,582995,182099,26874,738220,Banque
6,TEACH-00001,6,2025,357597,138160,16167,479590,Banque
7,TEACH-00001,7,2025,518957,177869,14379,682447,Virement
8,TEACH-00001,8,2025,614725,134485,41970,707240,Orange Money
9,TEACH-00001,9,2025,275463,87747,8670,354540,Banque
10,TEACH-00001,10,2025,348823,81080,27221,402682,Wave
11,TEACH-00001,11,2025,317975,179322,8154,489143,Orange Money
12,TEACH-00001,12,2025,522671,101700,29250,595121,Virement
13,TEACH-00002,1,2025,554164,83612,42407,595369,Orange Money
14,TEACH-00002,2,2025,344607,151409,43956,452060,Virement
15,TEACH-00002,3,2025,534931,99422,31652,602701,Virement
16,TEACH-00002,4,2025,569056,43392,5192,607256,Wave
17,TEACH-00002,5,2025,653617,58700,23750,688567,Banque
18,TEACH-00002,6,2025,545659,153047,15558,683148,Wave
19,TEACH-00002,7,2025,511096,133678,19933,624841,Wave
20,TEACH-00002,8,2025,453255,101808,44578,510485,Wave
21,TEACH-00002,9,2025,455160,84706,24199,515667,Wave
22,TEACH-00002,10,2025,676752,133424,47208,762968,Wave
23,TEACH-00002,11,2025,504610,33097,15651,522056,Banque
24,TEACH-00002,12,2025,371861,18804,10004,380661,Orange Money
25,TEACH-00003,1,2025,775952,112408,16517,871843,Wave
26,TEACH-00003,2,2025,429903,53661,46435,437129,Orange Money
27,TEACH-00003,3,2025,524575,127260,37703,614132,Banque
28,TEACH-00003,4,2025,713484,33381,25071,721794,Wave
29,TEACH-00003,5,2025,354811,99781,11249,443343,Orange Money
30,TEACH-00003,6,2025,567630,169597,10134,727093,Virement
31,TEACH-00003,7,2025,332812,198786,3772,527826,Virement
32,TEACH-00003,8,2025,424859,181864,39555,567168,Orange Money
33,TEACH-00003,9,2025,660654,40899,17512,684041,Orange Money
34,TEACH-00003,10,2025,755052,144772,17089,882735,Orange Money
35,TEACH-00003,11,2025,705825,112029,25866,791988,Wave
36,TEACH-00003,12,2025,549512,121507,32045,638974,Virement
37,TEACH-00004,1,2025,384867,92833,46261,431439,Orange Money
38,TEACH-00004,2,2025,305001,41427,41187,305241,Virement
39,TEACH-00004,3,2025,713061,186160,38290,860931,Virement
40,TEACH-00004,4,2025,785774,47269,29943,803100,Wave
41,TEACH-00004,5,2025,628836,183248,39544,772540,Banque
42,TEACH-00004,6,2025,665386,25470,29362,661494,Banque
43,TEACH-00004,7,2025,781898,111806,21352,872352,Orange Money
44,TEACH-00004,8,2025,582013,128912,47199,663726,Virement
45,TEACH-00004,9,2025,703957,93595,31186,766366,Virement
46,TEACH-00004,10,2025,282242,123605,9773,396074,Virement
47,TEACH-00004,11,2025,754530,68165,21983,800712,Wave
48,TEACH-00004,12,2025,381316,99591,14136,466771,Banque
49,TEACH-00005,1,2025,716121,126236,5833,836524,Banque
50,TEACH-00005,2,2025,613601,101238,2576,712263,Virement
51,TEACH-00005,3,2025,745606,29824,44533,730897,Banque
52,TEACH-00005,4,2025,590737,73279,40036,623980,Virement
53,TEACH-00005,5,2025,339498,197330,34590,502238,Wave
54,TEACH-00005,6,2025,789274,141251,32314,898211,Banque
55,TEACH-00005,7,2025,758080,49910,48379,759611,Wave
56,TEACH-00005,8,2025,479338,105494,12039,572793,Orange Money
57,TEACH-00005,9,2025,279901,133161,38662,374400,Banque
58,TEACH-00005,10,2025,377082,182944,41330,518696,Banque
59,TEACH-00005,11,2025,364683,27624,8780,383527,Wave
60,TEACH-00005,12,2025,446760,7317,43178,410899,Orange Money
61,TEACH-00006,1,2025,524363,89109,45157,568315,Banque
62,TEACH-00006,2,2025,285425,164311,16922,432814,Banque
63,TEACH-00006,3,2025,445351,189881,4374,630858,Banque
64,TEACH-00006,4,2025,501492,110569,42572,569489,Wave
65,TEACH-00006,5,2025,282585,152417,8097,426905,Virement
66,TEACH-00006,6,2025,250553,34381,33541,251393,Wave
67,TEACH-00006,7,2025,755216,141100,36553,859763,Orange Money
68,TEACH-00006,8,2025,302451,68226,1928,368749,Virement
69,TEACH-00006,9,2025,269815,24196,3511,290500,Orange Money
70,TEACH-00006,10,2025,255870,77507,29604,303773,Banque
