id_inscription,id_etudiant,id_classe,date_inscription,statut,type_inscription,bourse,reduction
df3c7bd2-0570-4902-bd7c-52bd4e9806c6,a8e99dd5-b9e8-4512-9ccc-f067ee2c7913,e9072d0c-ce82-4947-bdf0-365f52ecb018,2025-11-30,UNKNOWN,Reinscription,False,25.0
7a100683-b90d-469b-8b1b-9fec01491e34,dd0ad106-eca6-4181-a5e0-a4c62d99e817,d3d428d2-34e3-4418-9196-1f34673c6e67,2025-10-29,EN ATTENTE,Reinscription ,,150.0
d8753cd2-e0fd-4aff-8f29-47b114dbdf91,5e4080d0-26e1-4afe-88d0-f259a2302fe4,3b0f15d3-8407-44ad-a2e1-b6c0ccd3b695,2025-11-14,INSCRIT,Nouvelle,True,25.0
a5e758a9-a872-434d-87c8-cb1f5a4ec072,0a60352e-5e19-4a22-820c-80343584c120,58c8dabc-e808-47df-a27c-d79bc43f4361,2025-05-11,INSCRIT,Nouvelle,True,150.0
1e5ff794-cea7-4246-bf6f-5288450c8005,55ac4f94-0660-44c5-808b-e7d3bb7af158,58c8dabc-e808-47df-a27c-d79bc43f4361,2025-09-21,INSCRIT,,True,25.0
fb3829a8-d61d-4d7f-a1bd-b0cf51a58362,2ee2ddae-6601-472a-8845-67813b61f868,3b0f15d3-8407-44ad-a2e1-b6c0ccd3b695,2024-11-24,UNKNOWN,Nouvelle,True,150.0
913ba660-86ab-4651-91dd-ffcb86dd01de,df34615e-b4d0-4448-bce2-2bd8a1019eb8,e9072d0c-ce82-4947-bdf0-365f52ecb018,2026-12-16,ANNULE,NOUVELLE,,150.0
fe37b105-88bb-41de-9a79-7be8d17db7a5,55ae8535-3df7-412d-967d-2588317f9ec6,400a8469-f394-442f-8939-309dc285f046,2026-07-07,UNKNOWN,Reinscription ,,10.0
2c8c0e84-e157-46f6-b783-8b838fed1963,03a140f2-8aa6-4250-8555-53ef38fd93df,127e9890-e7f1-4c68-a44b-f099fdcb0281,2025-10-14,UNKNOWN,Nouvelle,,0.0
4ca5eb67-f90b-490e-aa4e-d45732940599,22bc020c-2027-4fb6-aa0e-7fa43beec90d,efa2c90c-bc4a-48bb-9e13-57f0fa302dcb,2026-08-06,INSCRIT,Reinscription ,True,150.0
413f3e1e-3a4b-4137-898c-860bcbcdb10d,4dbf8717-5932-4ca1-a3b9-e7a04135ba3d,7a7b0aed-1809-4ae1-8487-10fe51603919,2025-12-06,UNKNOWN,NOUVELLE,False,10.0
e888f6ac-6798-421f-9b1c-251336b63a5a,ff1b16ae-4f18-4529-b5d1-ac5c0a25d263,f259d263-039d-4cb2-ae03-efd0c6655ca8,2025-05-05,UNKNOWN,,True,0.0
efc8813c-4813-4ec9-a682-5f8e67e3af85,6dab1b7a-6248-44a3-bdc3-7071629dd519,3b0f15d3-8407-44ad-a2e1-b6c0ccd3b695,2026-06-18,INSCRIT,Reinscription,False,-20.0
9f123082-9a9c-4bef-9702-3cea0bd3c80f,387592f9-3a2b-4c77-b47c-183db04d220d,efa2c90c-bc4a-48bb-9e13-57f0fa302dcb,2025-05-10,INSCRIT,Reinscription,False,150.0
8bf0da8a-550b-4a2f-8b7a-66e2f111b4a6,d0ad99c1-e494-4bc0-8b70-992c701decd5,d3d428d2-34e3-4418-9196-1f34673c6e67,2024-11-19,UNKNOWN,,,10.0
2963ed02-4542-4c38-9ba8-981eb85c56c4,cd291ca4-8764-4ef4-a834-966a4f6c9d2d,fe4bc865-e893-41bf-b8e3-9535a020cfef,2025-06-22,INSCRIT,,,10.0
